ds,yhat,yhat_lower,yhat_upper
2018-02-25,1613.473246929588,1341.5676458873775,1888.1049476999392
2018-03-04,1581.1323698458777,1277.575422458506,1866.4314710444266
2018-03-11,1587.857726326665,1273.547720335522,1860.4706832427698
2018-03-18,1629.0293507171677,1334.3878116172295,1905.1846685366293
2018-03-25,1634.5200979638457,1337.1500824593081,1939.399469522342
2018-04-01,1564.4072185231344,1267.8388952563007,1850.8334732694173
2018-04-08,1470.376144937165,1171.6605124397972,1762.785802337646
2018-04-15,1446.917746322869,1161.4117823346116,1738.2237100202933
2018-04-22,1531.7978867483853,1246.7852958163041,1806.4686243801202
2018-04-29,1667.3411354447146,1354.3293341121537,1959.346765045268
2018-05-06,1755.072795137497,1456.4553530809249,2041.1174472904008
2018-05-13,1736.9896681154007,1458.4955442524915,2022.0107251511429
2018-05-20,1628.9541387433553,1333.5653477291287,1911.4254501327327
2018-05-27,1497.000863652134,1208.2234654376593,1790.940226732641
2018-06-03,1412.2482570490993,1138.9838066194397,1707.3545780460051
2018-06-10,1410.5000329769064,1129.6777832478024,1701.4226351158425
2018-06-17,1466.980228041396,1166.7686941385837,1757.493833426507
2018-06-24,1506.8444442277037,1206.8703998448625,1778.2245936331428
2018-07-01,1467.7207034251192,1170.224180211357,1737.1685805997545
2018-07-08,1375.8585288137551,1095.0956162725163,1687.8144239559572
2018-07-15,1348.8139186198475,1051.8164218745721,1670.6477489274153
2018-07-22,1486.6626217545834,1213.1610985847462,1783.4294521812203
2018-07-29,1742.5019306773183,1451.6542676479048,2039.7353347774445
2018-08-05,1922.7813590498981,1650.3638747486777,2220.6829947500305
2018-08-12,1853.331078588576,1576.498240071391,2140.1818454052836
2018-08-19,1558.0628064223195,1244.9924089813214,1844.006010222471
2018-08-26,1255.6041840444234,969.4260264071914,1543.5922063100948
2018-09-02,1161.039103432738,881.1237805970777,1424.1713500408964
2018-09-09,1295.039778119899,1001.5751493841749,1578.756754929807
2018-09-16,1498.4066536466041,1180.8222079716672,1783.0413973893872
2018-09-23,1619.3501718913542,1327.1238564774767,1931.9750532292753
2018-09-30,1650.2766036801831,1341.5027675759113,1943.1700892076378
2018-10-07,1668.3333018608655,1384.5352607196594,1941.3663452124642
2018-10-14,1685.214529706862,1395.8133935050662,1974.2868820552924
2018-10-21,1624.21406563854,1335.133437459388,1919.3870246421068
2018-10-28,1468.9772497318932,1166.5916809993175,1765.698102804694
